
STATUS | wrapper  | 2020/03/25 20:23:54 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/03/25 20:24:07 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/25 20:24:07 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/25 20:24:07 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/25 20:24:07 | 
STATUS | wrapper  | 2020/03/25 20:24:08 | Launching a JVM...
INFO   | jvm 1    | 2020/03/25 20:24:08 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/25 20:24:10 | DemoApp: Initializing...
INFO   | jvm 1    | 2020/03/25 20:24:10 | Demo: start()
INFO   | jvm 1    | 2020/03/25 20:24:10 | Demo: Showing dialog...
STATUS | wrapper  | 2020/03/25 20:24:13 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/03/25 20:24:13 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/25 20:24:13 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/25 20:24:13 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/25 20:24:13 | 
STATUS | wrapper  | 2020/03/25 20:24:13 | Launching a JVM...
INFO   | jvm 1    | 2020/03/25 20:24:14 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/25 20:24:14 | DemoApp: Initializing...
INFO   | jvm 1    | 2020/03/25 20:24:14 | Started and waiting for a command from the Demo Application
INFO   | jvm 1    | 2020/03/25 20:24:25 | Stopping...
INFO   | jvm 1    | 2020/03/25 20:24:26 | Demo: stop(0)
INFO   | jvm 1    | 2020/03/25 20:24:25 | Read action: finish
INFO   | jvm 1    | 2020/03/25 20:24:26 | Demo: stop(0)
STATUS | wrapper  | 2020/03/25 20:24:27 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/03/25 20:24:27 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/03/25 20:24:31 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2020/03/25 20:24:31 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/25 20:24:31 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/25 20:24:31 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/25 20:24:31 | 
STATUS | wrapper  | 2020/03/25 20:24:32 | Launching a JVM...
INFO   | jvm 1    | 2020/03/25 20:24:32 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/25 20:24:32 | DemoApp: Initializing...
INFO   | jvm 1    | 2020/03/25 20:24:32 | Demo: start()
INFO   | jvm 1    | 2020/03/25 20:24:32 | Demo: Showing dialog...
STATUS | wrapper  | 2020/03/25 20:24:34 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/03/25 20:24:34 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/25 20:24:34 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/25 20:24:34 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/25 20:24:34 | 
STATUS | wrapper  | 2020/03/25 20:24:34 | Launching a JVM...
INFO   | jvm 1    | 2020/03/25 20:24:34 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/25 20:24:34 | DemoApp: Initializing...
INFO   | jvm 1    | 2020/03/25 20:24:35 | Started and waiting for a command from the Demo Application
INFO   | jvm 1    | 2020/03/25 20:24:53 | Demo: stop(0)
STATUS | wrapper  | 2020/03/25 20:24:55 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/03/25 20:25:01 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2020/03/25 20:25:01 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/25 20:25:01 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/25 20:25:01 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/25 20:25:01 | 
STATUS | wrapper  | 2020/03/25 20:25:01 | Launching a JVM...
INFO   | jvm 1    | 2020/03/25 20:25:02 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/25 20:25:02 | DemoApp: Initializing...
INFO   | jvm 1    | 2020/03/25 20:25:02 | Demo: start()
INFO   | jvm 1    | 2020/03/25 20:25:02 | Demo: Showing dialog...
STATUS | wrapper  | 2020/03/25 20:25:04 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/03/25 20:25:04 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/25 20:25:04 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/25 20:25:04 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/25 20:25:04 | 
STATUS | wrapper  | 2020/03/25 20:25:04 | Launching a JVM...
INFO   | jvm 1    | 2020/03/25 20:25:05 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/25 20:25:05 | DemoApp: Initializing...
INFO   | jvm 1    | 2020/03/25 20:25:05 | Started and waiting for a command from the Demo Application
STATUS | wrapper  | 2020/03/25 20:25:07 | TERM trapped.  Shutting down.
